player_fantasy_avg,over_under,vegas_line,f_points_earned
20.55076923076923,44.5,1.0,8.84
4.55,44.5,1.0,5.0
9.273076923076923,44.5,1.0,16.5
13.079999999999998,44.5,1.0,18.0
6.126153846153846,44.5,1.0,2.4
6.150769230769232,44.5,1.0,1.8
8.644615384615385,44.5,1.0,0.0
0.37,44.5,1.0,0.0
8.87,44.5,-1.0,4.08
5.005692307692308,44.5,-1.0,5.5
9.1,44.5,-1.0,30.2
4.463636363636364,44.5,-1.0,2.6
7.0,44.5,-1.0,3.2
10.58923076923077,44.5,-1.0,4.8
-0.2,44.5,-1.0,1.0
3.8861538461538463,44.5,-1.0,0.4
20.794923076923073,41.0,-3.5,8.999999999999998
17.303333333333335,41.0,-3.5,41.2
2.0138461538461536,41.0,-3.5,0.8
12.35923076923077,41.0,-3.5,11.9
13.718461538461538,41.0,-3.5,9.3
4.103076923076923,41.0,-3.5,6.0
0.42000000000000004,41.0,-3.5,0.6
8.862,41.0,3.5,29.58
1.7866666666666666,41.0,3.5,18.5
11.615384615384615,41.0,3.5,2.1
4.980769230769231,41.0,3.5,2.5
8.192307692307692,41.0,3.5,10.6
5.36,41.0,3.5,3.8
25.009999999999998,41.0,3.5,1.7
5.0346153846153845,41.0,3.5,1.3
1.6630769230769231,41.0,3.5,1.2
4.9107692307692306,41.0,3.5,0.0
3.21,39.0,7.5,-2.94
13.792,39.0,7.5,5.5600000000000005
2.21,39.0,7.5,3.1
6.74,39.0,7.5,2.1
4.493333333333334,39.0,7.5,0.3
5.392307692307693,39.0,7.5,2.6
0.8300000000000001,39.0,7.5,2.4
1.5633333333333332,39.0,7.5,1.8
1.31,39.0,7.5,1.4
3.45,39.0,7.5,1.0
0.7,39.0,7.5,0.7
4.2,39.0,7.5,0.0
1.488181818181818,39.0,7.5,0.0
-0.5,39.0,7.5,0.0
14.789333333333332,39.0,-7.5,21.74
6.685076923076923,39.0,-7.5,4.859999999999999
8.903333333333334,39.0,-7.5,16.4
4.5138461538461545,39.0,-7.5,15.2
9.360000000000001,39.0,-7.5,11.899999999999999
7.507692307692308,39.0,-7.5,4.5
4.931538461538461,39.0,-7.5,4.9
1.52,39.0,-7.5,4.0
5.7446153846153845,39.0,-7.5,3.8
2.05,39.0,-7.5,3.2
3.8730769230769235,39.0,-7.5,3.1
1.43,39.0,-7.5,0.5
14.302,43.0,-2.5,13.239999999999998
9.003846153846155,43.0,-2.5,6.8999999999999995
13.15,43.0,-2.5,5.5
2.14,43.0,-2.5,0.3
3.583846153846154,43.0,-2.5,5.4
7.46,43.0,-2.5,5.1
3.0,43.0,-2.5,2.5
5.88076923076923,43.0,-2.5,1.4
1.65,43.0,-2.5,0.0
1.58,43.0,-2.5,0.0
14.326461538461537,43.0,2.5,7.160000000000001
19.490000000000002,43.0,2.5,24.8
0.5700000000000001,43.0,2.5,0.8
6.942307692307692,43.0,2.5,4.8
5.81,43.0,2.5,1.8
2.62,43.0,2.5,1.6
12.615333333333332,43.0,2.5,11.0
1.4023076923076925,43.0,2.5,0.8
18.37492307692308,49.5,6.0,11.04
11.273333333333333,49.5,6.0,10.9
5.3330769230769235,49.5,6.0,15.6
4.57,49.5,6.0,3.7
3.4361538461538466,49.5,6.0,2.7
0.1677777777777778,49.5,6.0,1.2
1.48,49.5,6.0,1.1
0.11000000000000001,49.5,6.0,0.0
